CÓDIGO DE CENTRO;CUANTÍA DE LAS BECAS
28076952;2800
28049912;2800
28078419;575
28049912;2800
28078407;2800
28076873;2800
28016271;2800
28009525;2800
28046911;2800
28075728;2800
28009884;2800
28009525;1360
28074682;2800
28078811;2800
28075728;2800
28009525;2800
28016271;2800
28075030;2800
28025166;500
28067859;1460
28076976;2800
28025166;1000
28047356;2800
28048919;2800
28077294;2800
28067859;2660
28067859;1460
28025919;2800
28048919;2800
28009525;1160
28011544;350
28076514;2800
28014193;2800
28078407;2800
28067859;2660
28040647;2800
28072661;2800
28009525;2800
28080438;2700
28076514;2800
28078213;2800
28076514;2800
28072661;2800
28080177;2800
28080177;2800
28076976;2800
28076873;2800
28076976;2800
28075030;2800
28040647;2800
28076976;2800
28075832;2800
28074220;2800
28078249;2800
28080177;1320
28025166;2800
28016271;2800
28045748;2800
28075728;2800
28077713;2800
28076514;2800
28076952;2800
28046911;2800
28045748;1638,2
28076873;2800
28075728;2800
28077294;2800
28080177;2800
28038100;400
28009525;2800
28049912;2800
28076861;2800
28075728;2800
28076514;2800
0;2421
28001605;2800
28025166;1000
28079679;2800
28045748;2800
28064214;1660
28058305;2800
28040647;2800
28045748;2800
28078729;2800
28076976;2800
28065735;2800
28080281;1800
28040647;2800
28011908;2800
28025166;2800
28079679;2800
28078213;2800
28078845;2400
28079631;2800
28021604;2800
28075716;2800
28077713;2800
28046911;2800
28038586;2800
28076976;2800
28076991;2800
28069844;400
28009525;2800
28042607;400
28065735;2800
28009525;2800
28075832;2800
28067859;1460
28077713;2800
28078249;2800
28009525;2800
28064172;2280
28079539;2800
28079345;2800
28025166;1000
28076915;2800
28078249;2800
28075728;575
28049912;2800
28020341;400
28079679;2800
28076873;2800
28009525;2800
28078213;2800
28078249;2800
28002208;680
28045748;2480
28077713;2700
28075625;2800
28048919;2800
28075625;2800
28075728;2800
28079345;2800
28080177;2800
28080281;2600
28075625;2800
28047356;2800
28074049;2800
28076769;2800
28075716;2800
28079497;2800
28079539;2800
28077713;2800
28058305;2800
28080451;2800
28047356;2800
28076769;2800
28076976;2800
28058305;2800
28076186;2800
28076514;2800
28067859;1460
28009525;2800
28075728;2800
28025877;2800
28076769;2800
28009525;2800
28014651;1120
28009525;1705
28077294;2800
28080438;2400
28074220;2800
28079345;2800
28076459;2800
28078407;2800
28025877;2800
28025166;1000
28047356;2800
28045748;2480
28080177;2800
28080177;2800
28078213;2800
28014651;2800
28075728;2800
28077555;2800
28080463;2800
28079679;2800
28045748;2480
28032018;2800
28075625;2800
28046911;2800
28076459;2800
28021719;2800
28080177;2800
28079552;2800
28079916;2800
28074323;2800
28076976;2800
28079916;2800
28075182;2800
28078407;2800
28025166;1000
28048919;2800
28045748;1155
28079679;2800
28019300;425
28009525;2800
28080177;2800
28076514;2800
28078390;2800
28075728;2800
28075728;2800
28076861;2800
28049912;2800
28049912;2800
28032018;2800
28076903;2800
28074682;2800
28020831;520
28080177;1320
28026183;2800
28025166;500
28067321;2421
28076861;2800
28071474;2800
28040647;2800
28080177;1320
28049912;2800
28079916;2800
28071474;2800
28075625;2800
28060087;2800
28076861;2800
28025166;2800
28067859;2660
28058305;2800
28079345;2800
28075844;2800
28075595;2800
28025166;2800
28029445;2800
28045748;2800
28025324;2800
28009884;2800
28064238;2800
28080451;2800
28076514;2800
28076952;2800
28025166;2800
28075832;2800
28075728;575
28049912;2800
28045438;60
28058743;2800
28021604;2800
28001976;2800
28077580;2800
28080177;2800
28072168;2800
28032018;2800
28046911;2800
28074682;2800
28009525;2800
28009525;2800
28046911;2800
28049912;2800
28009525;2800
28009525;2800
28031592;2762,5
28020703;400
28079916;2800
28078811;2800
28067859;2660
28074086;2800
28047356;2800
28025166;2800
28073446;2800
28009525;2800
28076514;2800
28073446;2800
28078407;2800
28048919;2800
28046911;2800
28058305;2800
28078407;2800
28077580;2800
28078407;2800
28045748;1638,2
28009525;2800
28009525;2800
28075728;2800
28072661;2800
28026456;2800
28075728;2800
28045748;2480
28078213;2800
28045748;2800
28075182;2800
28046303;400
28048919;2800
28049912;2800
28040647;2800
28079539;2800
28049912;2800
28075728;2800
28079916;2800
28076873;2800
28032833;2800
28025919;2800
28067859;2660
28073446;1410
28076186;2800
28031592;990
28076873;1573
28025877;2800
28064214;2800
28025166;1000
28046911;2800
28040647;2800
28016271;2800
28046911;2800
28025166;2800
28078377;2800
28009525;2800
28009525;2800
28079679;2800
28079539;2800
28075728;2800
28046911;2800
28080451;2800
28009525;1160
28003894;400
28048919;2800
28077555;2800
28045748;1155
28067859;2660
28016271;2800
28075716;2800
28075832;2800
28076356;2800
28058615;436,12
28009525;2800
28049912;2800
28074682;2800
28009525;2800
28076976;2800
28046911;2800
28075054;2800
28076976;2800
28026183;1259,5
28024812;2800
28009884;2800
28071474;2800
28072661;2800
28075844;2800
28076186;2800
28021604;2800
28078407;2800
28009525;2800
28026183;2800
28077580;2800
28009525;2800
28030241;400
28079552;2800
28076873;2800
28072168;2800
28079345;2800
28077580;2800
28079345;2800
28076514;2800
28025166;500
28046911;2800
28080724;2800
28079345;2800
28038586;2800
28075728;2800
28075832;2800
28079679;2800
28067859;2660
28076991;2800
28075728;2800
28045748;2800
28080451;2800
28078407;2800
28048919;2800
28074682;1578
28080451;2800
28078213;2800
28072661;2800
28080669;2800
28075728;2800
28080177;990,76
28079588;2800
28009884;2800
28064214;1660
28009525;1360
28009884;2800
28026183;2800
28078407;2800
28072661;2800
28074682;1578
28075625;2800
28080177;754,76
28077294;2800
28075728;2800
28000522;200
28077294;2800
28038070;400
28077713;2800
28075716;2800
28058743;2800
28080281;2800
28074086;2800
28014651;2800
28079552;2800
28009525;1360
28064172;980
28075844;2800
28079679;2800
28075728;2800
28009525;1360
28038586;2800
28074682;2800
28075662;2800
28074220;1040
28078213;2800
28075728;575
28009525;2800
28076873;2800
28038586;2800
28074323;2800
28072661;2800
28075716;2800
28009525;2800
28076514;2800
28078407;2800
28075728;2800
28026183;2800
28032833;2800
28074384;2800
28080177;1320
28078729;2800
28078249;2800
28080451;2800
28072661;2800
28029445;482
28076915;2800
28078407;2800
28047356;2800
28074682;2800
28002580;400
28074682;2800
28072661;2800
28074220;2800
28045748;1638,2
28046911;2800
28014651;2800
28047356;2800
28009525;2800
28076514;1610
28079345;2800
28049547;2800
28076186;2800
28075728;2800
28075625;2800
28074086;2800
28075728;2800
28075728;575
28080281;2800
28080177;2800
28075716;2800
28045748;1638,2
28042139;2800
28079539;2800
28076976;2800
28042632;400
28014193;2800
28074682;1578
28077580;2800
28076915;2800
28079497;2800
28074682;2800
28025877;2800
28041275;2800
28076873;2800
28075728;2800
28046911;2800
28025166;2800
28076514;2800
28078791;2800
28025324;2800
28067653;400
28045748;2480
28009525;2800
28075625;2800
28048919;2800
28009525;2800
28047356;2800
28076952;2800
28025166;500
28080359;2800
28024642;400
28072661;2800
28080724;2800
28076976;2800
28079345;2800
28079345;2800
28075662;2800
28040647;2800
28075728;2800
28073446;1410
28075832;2800
28075911;2800
28074682;2800
28022578;156
28075595;2800
28075054;2800
28047356;2800
28079345;2800
28075716;2800
28049547;2800
28070883;2800
28016271;2800
28074682;2800
28075716;2800
28076915;2800
28078729;2800
28025166;1000
28042656;400
28016271;2800
28075728;2800
28045748;2800
