CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;TITULARIDAD
Madrid-Oeste;28060646;EEI;ACHALAY;Avenida De Isabel De Farnesio, 14 ;Boadilla del Monte;-;28660;916326518;-;eei.achalay.boadilla@educa.madrid.org;achalay-@hotmail.com;Público;
Madrid-Este;28063027;EEI;ACUARELA;Avenida Del Somorrostro, 193 ;San Fernando de Henares;-;28830;916694580;-;eei.acuarela.sanfernando@educa.madrid.org;-;Público;
Madrid-Sur;28047460;EEI;ADIVINANZAS;Calle De Las Palmeras, 1 ;Alcorcón;-;28922;911886061;-;eei.adivinanzas.alcorcon@educa.madrid.org;-;Público;
Madrid-Capital;28047551;EEI;AGUA DULCE;Calle De Leñeros, 25 ;Madrid;Tetuán;28039;914594049;914594049;eei.aguadulce.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28044100;EEI;AILANTOS;Plaza Duque De Ahumada, S/n ;Valdemoro;-;28341;918955900;918955900;eei.ailantos.valdemoro@educa.madrid.org;manuelaailantos@hotmail.com;Público;
Madrid-Capital;28043405;EEI;ALBAICIN;Calle De Albaicín, 1 ;Madrid;Usera;28041;913171194;913171194;eei.albaicin.madrid@educa.madrid.org;mariasira.delrio@madrid.org;Público;
Madrid-Capital;28043417;EEI;ALFAR;Calle De Gerardo Diego, 9-b ;Madrid;Puente de Vallecas;28018;917773745;917773745;eei.alfar.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28067665;EEI;ALTAIR;Calle De José De Cadalso, 43 ;Madrid;Latina;28044;917652101;-;eei.altair.madrid@educa.madrid.org;altairescuela@gmail.com;Público;
Madrid-Capital;28047861;EEI;AMADEO VIVES;Calle De Los Yébenes, 6 ;Madrid;Latina;28047;917191202;917080207;cn.amadeovives.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28070913;EEI;AMANECER;Calle Del Titanio, 7 ;Madrid;Vicálvaro;28032;917765069;-;eei.amanecer.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28072004;EEI;ANA DE AUSTRIA;Calle De Ana De Austria, 32 ;Madrid;Hortaleza;28050;917500832;-;eei.anadeaustria.madrid@educa.madrid.org;eei.anadeaustria@gmail.com;Público;
Madrid-Sur;28044161;EEI;ANDERSEN;Avenida De Viña Grande, 2 ;Alcorcón;-;28925;914880205;-;eei.andersen.alcorcon@educa.madrid.org;andersen.alcorcon@hotmail.com;Público;
Madrid-Este;28068098;EEI;ANTON PIRULERO;Calle Puerto De Bilbao, S/n ;Coslada;-;28821;914939280;-;eei.antonpirulero.coslada@educa.madrid.org;antonpirulero@chiquitin.es;Público;
Madrid-Capital;28079621;EEI;ANTONIO MERCERO;Avenida De Valladolid, 49b ;Madrid;Moncloa-Aravaca;28008;-;-;eei.antoniomercero.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28062643;EEI;ARCE;Calle Del Alcalde Garrido Juaristi, 6 ;Madrid;Moratalaz;28030;913285820;913285820;eei.arce.madrid@educa.madrid.org;-;Público;
Madrid-Este;28049055;EEI;ARCO IRIS;Calle Valverde De Alcala, 1 ;Alcalá de Henares;-;28806;918811481;918811481;eei.arcoiris.alcala@educa.madrid.org;directora@escuelaarcoiris.com;Público;
Madrid-Capital;28043454;EEI;ARCO IRIS;Calle De Diego Olivera Victorio, 10 ;Madrid;Villa de Vallecas;28031;913311422;913311422;eei.arcoiris.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28080499;EEI;ARCOIRIS;Avenida Niceto Alcalá Zamora, S/n ;Getafe;-;28904;916834716;-;eei.arcoiris.getafe@educa.madrid.org;-;Público;
Madrid-Sur;28065292;EEI;ARTE;Calle Mezquita, 36 ;Getafe;-;28903;916843528;-;eei.arte.getafe@educa.madrid.org;-;Público;
Madrid-Oeste;28068037;EEI;ASERRIN ASERRAN;Calle Castillo De Atienza, 4 ;Rozas de Madrid, Las;-;28232;916365929;916365929;eei.aserrinaserran.lasrozas@educa.madrid.org;-;Público;
Madrid-Capital;28043740;EEI;BÄRBEL INHELDER;Carretera De Colmenar, K15 ;Madrid;Fuencarral-El Pardo;28049;914972303;914972301;eei.barbelinhelder.madrid@educa.madrid.org;escuela.infantil@uam.es;Público;
Madrid-Sur;28049067;EEI;BARCO DE PAPEL;Avenida De Los Cinco Siglos, 1 ;Navalcarnero;-;28600;918113003;-;eei.barcodepapel.navalcarnero@educa.madrid.org;-;Público;
Madrid-Capital;28080116;EEI;BERNARDO DE GALVEZ;Carretera M-607 Colmenar Viejo, K17,5 ;Madrid;Fuencarral-El Pardo;28790;-;-;-;-;Público;
Madrid-Sur;28043922;EEI;CALEIDOSCOPIO;Avenida De Carlos V, 3 ;Móstoles;-;28936;916454995;916454995;eei.caleidoscopio.mostoles@educa.madrid.org;caleidoscopio@educainfantilmostoles.org;Público;
Madrid-Oeste;28072429;EEI;CALIMERO;Calle Amapolas, S/n ;Collado Villalba;-;28400;674334740;-;eei.calimero.colladovillalba@educa.madrid.org;calimero@kidsco.es;Público;
Madrid-Sur;28068219;EEI;CAMPANILLA;Calle Miguel De Cervantes, 106 ;Arroyomolinos;-;28939;918982621;916119054;eei.campanilla.arroyomolinos@educa.madrid.org;-;Público;
Madrid-Capital;28068301;EEI;CAMPANILLA;Calle De Ávila, 4 ;Madrid;Tetuán;28020;915707576;915707576;eei.campanilla.madrid@educa.madrid.org;lunas.7@hotmaiil.com;Público;
Madrid-Sur;28070202;EEI;CAMPANILLA;Calle De Copenhague, 55 ;Alcorcón;-;28922;605865768;-;eei.campanilla.alcorcon@educa.madrid.org;campanilla.alcorcon@gmail.com;Público;
Madrid-Sur;28049195;EEI;CANCIONERO;Calle Emilia Pardo Bazán, S/n ;Getafe;-;28903;916969593;-;eei.cancionero.getafe@educa.madrid.org;raquel.victorio@madrid.org;Público;
Madrid-Norte;28044252;EEI;CANTINELA;Sector Descubridores, 18 ;Tres Cantos;-;28760;918033249;-;eei.cantinela.trescantos@educa.madrid.org;eicantinela@hotmail.com;Público;
Madrid-Capital;28081583;EEI;CAÑAVERAL;Calle De Enrique Urquijo, 56 ;Madrid;Vicálvaro;28052;-;-;-;-;Público;
Madrid-Sur;28068086;EEI;CARACOL COL COL;Calle Tablas De Daimiel, S/n ;Ciempozuelos;-;28350;918086676;918930668;eei.caracolcolcol.ciempozuelos@educa.madrid.org;-;Público;
Madrid-Norte;28058147;EEI;CARANTOÑAS;Calle Dalia, 18 ;Cobeña;-;28863;916208527;916208527;eei.carantonas.cobena@educa.madrid.org;-;Público;
Madrid-Capital;28043491;EEI;CARRICOCHE;Calle De Moreja, 1 ;Madrid;Usera;28041;913170465;913698583;eei.carricoche.madrid@educa.madrid.org;eeicarricoche@telefonica.net;Público;
Madrid-Este;28044136;EEI;CARRUSEL;Calle Violeta, 17 ;Alcalá de Henares;-;28803;918818387;918818387;eei.carrusel.alcala@educa.madrid.org;-;Público;
Madrid-Sur;28044288;EEI;CASA DE LOS NIÑOS;Avenida De Los Ángeles, 24 ;Getafe;-;28903;912027973;-;eei.casadelosninos.getafe@educa.madrid.org;-;Público;
Madrid-Norte;28064305;EEI;CASCABELES;Calle Federico Moreno Torroba, S/n ;Alcobendas;-;28100;914904824;917080207;eei.cascabeles.alcobendas@educa.madrid.org;-;Público;
Madrid-Sur;28046947;EEI;CASCANUECES;Calle De Los Arquitectos, 35 ;Getafe;-;28903;916823802;-;eei.cascanueces.getafe@educa.madrid.org;-;Público;
Madrid-Sur;28064123;EEI;CASIOPEA;Calle Toledo, 54 ;Getafe;-;28901;916950164;916950164;eei.casiopea.getafe@educa.madrid.org;-;Público;
Madrid-Este;28044203;EEI;CHARLIE RIVEL;Calle De Velázquez, S/n ;Coslada;-;28821;916738938;916738938;eei.charlierivel.coslada@educa.madrid.org;-;Público;
Madrid-Capital;28043508;EEI;CHAVALITOS;Calle De Pradales, 8 ;Madrid;Latina;28047;914647850;914630659;eei.chavalitos.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28070664;EEI;CIELO AZUL;Bulevar De Indalecio Prieto, 16 ;Madrid;Vicálvaro;28032;917720849;-;eei.cieloazul.madrid@educa.madrid.org;cieloazul@educaula.org;Público;
Madrid-Capital;28068050;EEI;CINCO LOBITOS;Calle De Forsitia, 2 ;Madrid;Carabanchel;28054;914006684;914006684;eei.cincolobitos.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28043909;EEI;COLORES;Calle Coronel De Palma, S/n ;Móstoles;-;28934;916180211;916180211;eei.colores.mostoles@educa.madrid.org;BLOG: escuelainfantilcoloresmostoles.blogspot.com.es;Público;
Madrid-Capital;28047587;EEI;COLORIN COLORADO;Calle Del Conde De Torralba, 8 ;Madrid;Chamartín;28046;917331277;-;eei.colorincolorado.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28058202;EEI;CUENTACUENTOS;Calle Fuente Del Álamo, 10 ;Collado Villalba;-;28400;918510929;918510929;eei.cuentacuentos.colladovillalba@educa.madrid.org;-;Público;
Madrid-Este;28044215;EEI;DIAMELA;Calle Colombia, S/n ;Coslada;-;28823;916735343;-;eei.diamela.coslada@educa.madrid.org;-;Público;
Madrid-Este;28067860;EEI;DON MELITON;Calle Arturo Soria, 5 ;Alcalá de Henares;-;28806;918786757;-;eei.donmeliton.alcala@educa.madrid.org;-;Público;
Madrid-Oeste;28072338;EEI;DON PIMPON;Calle De Murillo, 1 ;Galapagar;-;28420;918585012;-;eei.donpimpon.galapagar@educa.madrid.org;-;Público;
Madrid-Capital;28072028;EEI;DOÑA FRANCISQUITA;Calle De Cambados, 1 ;Madrid;Hortaleza;28050;917642004;917642004;eei.donafrancisquita.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28061687;EEI;DULCINEA;Calle Moraña, 27 ;Leganés;-;28915;916808230;-;eei.dulcinea.leganes@educa.madrid.org;direccion.eidulcinea@grupo5.net;Público;
Madrid-Capital;28047472;EEI;EL ALBA;Calle De Toledo, 181 ;Madrid;Arganzuela;28005;915173351;915173351;eei.elalba.madrid@educa.madrid.org;elalbaescuela@gmail.com;Público;
Madrid-Norte;28068232;EEI;EL ALMENDRO;Calle De Juan Gris, 3 ;Colmenar Viejo;-;28770;918473480;-;eei.elalmendro.colmenarviejo@educa.madrid.org;eei.elalmendro@gmail.com;Público;
Madrid-Este;28070263;EEI;EL ARLEQUIN;Avenida De José Hierro, 88 ;Rivas-Vaciamadrid;-;28521;914991589;916442764;eei.elarlequin.rivas@educa.madrid.org;eei.elarquelin@gmail.com;Público;
Madrid-Capital;28072065;EEI;EL BARBERILLO DE LAVAPIES;Calle Del Granito, 32 C/v Plomo, 16 ;Madrid;Arganzuela;28045;915397437;915397437;eei.elbarberillodelavapies.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28071851;EEI;EL BATEO;Calle De Pinos De Osuna, 3 ;Madrid;Barajas;28042;917414436;-;eei.elbateo.madrid@educa.madrid.org;eielbateo@madrid.es;Público;
Madrid-Capital;28043466;EEI;EL BELEN;Calle De Braille, 23 ;Madrid;Fuencarral-El Pardo;28034;917341043;917341043;eei.elbelen.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28070937;EEI;EL BONSAI;Calle De Ernest Lluch, S/n ;Fuenlabrada;-;28942;914985345;914985345;eei.elbonsai.fuenlabrada@educa.madrid.org;-;Público;
