"AREA TERRITORIAL";"CODIGO CENTRO";"TIPO DE CENTRO";"CENTRO";"DOMICILIO";"MUNICIPIO";"DISTRITO MUNICIPAL";"COD. POSTAL";"TELEFONO";"FAX";"EMAIL";"EMAIL2";"TITULARIDAD";"URL";"E-MAIL";"TITULAR";"SEGREGADA";"EDUC. DIFERENCIADA";"Total 2017-2018";"Total 2018-2019";"Total 2019-2020";"Total 2020-2021";"Total 2021-2022";"Educación Infantil Especial 2017-2018";"Educación Infantil Especial 2018-2019";"Educación Infantil Especial 2019-2020";"Educación Infantil Especial 2020-2021";"Educación Infantil Especial 2021-2022";"Infantil I Ciclo 2017-2018";"Infantil I Ciclo 2018-2019";"Infantil I Ciclo 2019-2020";"Infantil I Ciclo 2020-2021";"Infantil I Ciclo 2021-2022";"Infantil II Ciclo 2017-2018";"Infantil II Ciclo 2018-2019";"Infantil II Ciclo 2019-2020";"Infantil II Ciclo 2020-2021";"Infantil II Ciclo 2021-2022";"Educación Básica Obligatoria 2017-2018";"Educación Básica Obligatoria 2018-2019";"Educación Básica Obligatoria 2019-2020";"Educación Básica Obligatoria 2020-2021";"Educación Básica Obligatoria 2021-2022";"Primaria 2017-2018";"Primaria 2018-2019";"Primaria 2019-2020";"Primaria 2020-2021";"Primaria 2021-2022";"ESO 2017-2018";"ESO 2018-2019";"ESO 2019-2020";"ESO 2020-2021";"ESO 2021-2022";"Bachillerato 2017-2018";"Bachillerato 2018-2019";"Bachillerato 2019-2020";"Bachillerato 2020-2021";"Bachillerato 2021-2022";"FP GM 2017-2018";"FP GM 2018-2019";"FP GM 2019-2020";"FP GM 2020-2021";"FP GM 2021-2022";"FP GS 2017-2018";"FP GS 2018-2019";"FP GS 2019-2020";"FP GS 2020-2021";"FP GS 2021-2022";"FPB 2017-2018";"FPB 2018-2019";"FPB 2019-2020";"FPB 2020-2021";"FPB 2021-2022";"PCPI: Módulos Voluntarios 2017-2018";"PCPI: Módulos Voluntarios 2018-2019";"PCPI: Módulos Voluntarios 2019-2020";"PCPI: Módulos Voluntarios 2020-2021";"PCPI: Módulos Voluntarios 2021-2022";"PCPI: Especial 2017-2018";"PCPI: Especial 2018-2019";"PCPI: Especial 2019-2020";"PCPI: Especial 2020-2021";"PCPI: Especial 2021-2022";"Programa Formación Transición Vida Adulta 2017-2018";"Programa Formación Transición Vida Adulta 2018-2019";"Programa Formación Transición Vida Adulta 2019-2020";"Programa Formación Transición Vida Adulta 2020-2021";"Programa Formación Transición Vida Adulta 2021-2022";"Programas Profesionales Modalidad Especial 2017-2018";"Programas Profesionales Modalidad Especial 2018-2019";"Programas Profesionales Modalidad Especial 2019-2020";"Programas Profesionales Modalidad Especial 2020-2021";"Programas Profesionales Modalidad Especial 2021-2022";"lat";"lng";"Programas Profesionales Modalidad General 2019-2020";"Programas Profesionales Modalidad General 2020-2021";"Programas Profesionales Modalidad General 2021-2022"
"Madrid-Oeste";"28060646";"EEI";"ACHALAY";"Avenida De Isabel De Farnesio, 14 ";"Boadilla del Monte";"-";"28660";"916326518";"-";"eei.achalay.boadilla@educa.madrid.org";"achalay-@hotmail.com";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28060646";"eei.achalay.boadilla@educa.madrid.org";"";"NO";"";"116";"125";"121";"121";"122";"";"";"";"";"";"116";"125";"121";"121";"122";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.403947";"-3.8875135";"";"";""
"Madrid-Este";"28063027";"EEI";"ACUARELA";"Avenida Del Somorrostro, 193 ";"San Fernando de Henares";"-";"28830";"916694580";"-";"eei.acuarela.sanfernando@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28063027";"eei.acuarela.sanfernando@educa.madrid.org";"";"NO";"";"77";"80";"77";"76";"78";"";"";"";"";"";"77";"80";"77";"76";"78";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4145214";"-3.5216258";"";"";""
"Madrid-Sur";"28047460";"EEI";"ADIVINANZAS";"Calle De Las Palmeras, 1 ";"Alcorcón";"-";"28922";"911886061";"-";"eei.adivinanzas.alcorcon@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28047460";"eei.adivinanzas.alcorcon@educa.madrid.org";"";"NO";"";"117";"128";"116";"111";"125";"";"";"";"";"";"117";"128";"116";"111";"125";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3414326";"-3.835771099999999";"";"";""
"Madrid-Capital";"28047551";"EEI";"AGUA DULCE";"Calle De Leñeros, 25 ";"Madrid";"Tetuán";"28039";"914594049";"914594049";"eei.aguadulce.madrid@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28047551";"eei.aguadulce.madrid@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4538898";"-3.7096";"";"";""
"Madrid-Sur";"28044100";"EEI";"AILANTOS";"Plaza Duque De Ahumada, S/n ";"Valdemoro";"-";"28341";"918955900";"918955900";"eei.ailantos.valdemoro@educa.madrid.org";"manuelaailantos@hotmail.com";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044100";"eei.ailantos.valdemoro@educa.madrid.org";"";"NO";"";"115";"115";"117";"114";"115";"";"";"";"";"";"115";"115";"117";"114";"115";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.189136";"-3.6805184";"";"";""
"Madrid-Capital";"28043405";"EEI";"ALBAICIN";"Calle De Albaicín, 1 ";"Madrid";"Usera";"28041";"913171194";"913171194";"eei.albaicin.madrid@educa.madrid.org";"mariasira.delrio@madrid.org";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043405";"eei.albaicin.madrid@educa.madrid.org";"";"NO";"";"90";"104";"75";"64";"73";"";"";"";"";"";"90";"104";"75";"64";"73";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3681767";"-3.7017506";"";"";""
"Madrid-Capital";"28043417";"EEI";"ALFAR";"Calle De Gerardo Diego, 9-b ";"Madrid";"Puente de Vallecas";"28018";"917773745";"917773745";"eei.alfar.madrid@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043417";"eei.alfar.madrid@educa.madrid.org";"";"NO";"";"101";"102";"104";"86";"98";"";"";"";"";"";"101";"102";"104";"86";"98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3851232";"-3.6428501";"";"";""
"Madrid-Capital";"28067665";"EEI";"ALTAIR";"Calle De José De Cadalso, 43 ";"Madrid";"Latina";"28044";"917652101";"-";"eei.altair.madrid@educa.madrid.org";"altairescuela@gmail.com";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28067665";"eei.altair.madrid@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3784448";"-3.768455799999999";"";"";""
"Madrid-Capital";"28047861";"EEI";"AMADEO VIVES";"Calle De Los Yébenes, 6 ";"Madrid";"Latina";"28047";"687011831";"917080207";"cn.amadeovives.madrid@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28047861";"cn.amadeovives.madrid@educa.madrid.org";"";"NO";"";"68";"69";"65";"64";"65";"";"";"";"";"";"68";"69";"65";"64";"65";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.397147";"-3.7556371";"";"";""
"Madrid-Capital";"28070913";"EEI";"AMANECER";"Calle Del Titanio, 7 ";"Madrid";"Vicálvaro";"28032";"917765069";"-";"eei.amanecer.madrid@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28070913";"eei.amanecer.madrid@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4020199";"-3.6008089";"";"";""
